author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,6d94b762636d9ac0bc0ae4d6bc3b3c8ed408f842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Little,146a50952808beb2aa7ee2e62dc6faf2032ecb7a,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
Mike Little,782855ea597a5d4f6ec12c6ff20d640b2be15443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mike Little,7b31ae093cfec68708617997b9d7d814bbf728d3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mike Little,31f3ad6ed6293f9f861ec2508fe291344e31fa09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mike Little,fcef79de9bdc5b30e0407ede66956d8b85f68b1f,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,36b9288aff19e24e0ddc2abb6b9be1492077e347,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Mike Little,36174dc20f18914fbbeaaf0ca6926ad2bcb02b3d,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,dc9a5d7f145340d7cd9f5382a5b65a22ad049cf6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mike Little,2f2d93d6eca711c53b87a26744fdbc83763a41a2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,5dcc75bb3f4e8c6d642ff5cacfc211d9ecf13cfe,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0
Mike Little,06e2c70d0e87d97667c3f0e14e769958aeb6cc64,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,4258329c689db60e8f41ae03848f7dd75a27cc2c,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
Mike Little,01c0e605834457977dbf79b4365c0433c936f4db,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
Mike Little,b632dc08b9b77af094c9f26419d9890b2c53c5cc,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
Mike Little,5e25b738cf2e4a604fde726fd8391981c4e8a49e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Mike Little,f3e54f37c6c18607929d071af708bfd2888efc67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Little,2b146a0b27e5b969c7b9439bb60abab209ca6a80,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
Mike Little,7ccf3b372a87de86bf6aa44967cd2819e3c8eab4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Little,b5701a52a39e195a18f15a62f64b67446b0d965b,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1
Mike Little,95b9f24803162fca5bed352e3606f92efda42a69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Little,8ab54d68331736ea9cfb5f8e66fc47a5dd48d1ae,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,e84918b538bc1b3d29a5e4b6b2e992ef3a4e180e,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Matt Mullenweg,dafb6efefcb12f0b92fe3309f55fa01cfe8dd896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dougal Campbell,ecaabac69d5c69a336cea52c7aca70738d3a7382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,9644898ff11bbbf8b99fa7c768762c4f19046657,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,5c9a79c506c63fe1679b6e8308e98e5bd00e8b0d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
