ID,CS,SQI
401,1551,8287
402,1574,8402
403,1574,8402
404,1574,8402
405,1574,8382
406,1574,8382
407,1569,8364
408,1569,8364
409,1569,8364
410,1569,8364
411,1567,8334
412,1567,8334
413,1567,8334
414,1567,8334
415,1567,8334
416,1565,8324
417,1567,8334
418,1568,8336
419,1568,8336
420,1568,8336
421,1569,8338
422,1569,8338
423,1569,8338
424,1571,8342
425,1572,8344
426,1559,8279
427,1559,8279
428,1560,8284
429,1560,8284
430,1560,8284
431,1560,8284
432,1561,8292
433,1561,8292
434,1563,8296
435,1561,8292
436,1561,8292
437,1561,8292
438,1561,8292
439,1561,8292
440,1561,8294
441,1561,8294
442,1561,8294
443,1561,8294
444,1561,8294
445,1561,8294
446,1561,8294
447,1561,8294
448,1561,8294
449,1560,8289
450,1560,8289
451,1560,8289
452,1559,8288
453,1559,8288
454,1573,8383
455,1573,8383
456,1574,8388
457,1574,8388
458,1574,8386
459,1574,8386
460,1574,8386
461,1574,8386
462,1574,8386
463,1574,8386
464,1574,8386
465,1575,8388
466,1580,8404
467,1580,8404
468,1581,8404
469,1579,8400
470,1603,8568
471,1602,8560
472,1602,8560
473,1602,8560
474,1602,8560
475,1602,8560
476,1602,8560
477,1602,8560
478,1602,8560
479,1760,9376
480,1760,9376
481,1762,9383
482,1762,9383
483,1762,9383
484,1764,9413
485,1764,9413
486,1770,9463
487,1792,9623
488,1792,9623
489,1791,9615
490,1791,9635
491,1778,9500
492,1778,9500
493,1778,9500
494,1778,9500
495,1778,9500
496,1778,9540
497,1778,9540
498,1674,9013
499,1674,9013
500,1674,9011
501,1674,9011
502,1674,9011
503,1674,9011
504,1682,9052
505,1682,9052
506,1687,9074
507,1687,9074
508,1698,9116
509,1704,9153
510,1699,9138
511,1700,9143
512,1700,9144
513,1700,9144
514,1700,9144
515,1702,9148
516,1701,9146
517,1701,9146
518,1701,9146
519,1701,9146
520,1702,9151
521,1704,9194
522,1704,9194
523,1704,9183
524,1706,9195
525,1708,9210
526,1708,9210
527,1710,9220
528,1716,9238
529,1720,9249
530,1722,9259
531,1722,9259
532,1699,9123
533,1704,9195
534,1705,9200
535,1700,9128
536,1700,9128
537,1700,9128
538,1700,9128
539,1702,9168
540,1702,9168
541,1702,9168
542,1700,9161
543,1700,9161
544,1700,9161
545,1700,9161
546,1774,9633
547,1774,9633
548,1781,9655
549,1773,9579
550,1773,9583
551,1773,9583
552,1773,9583
553,1773,9583
554,1773,9583
555,1776,9597
